ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,y
10476,1958,Graduation,Married,67267.0,0,1,13-05-2014,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,3,11,0
492,1973,PhD,YOLO,48432.0,0,1,18-10-2012,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,3,11,0
10356,1957,PhD,Divorced,41437.0,1,1,22-09-2012,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,3,11,0
1175,1983,Master,Married,36262.0,0,0,20-09-2013,24,88,39,54,64,28,153,1,3,5,3,6,1,0,0,0,0,0,3,11,1
6404,1969,Graduation,Together,58917.0,1,2,24-03-2013,10,151,7,89,0,7,28,5,4,1,6,5,0,0,0,0,0,0,3,11,0
7789,1965,PhD,Married,84618.0,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0
6177,1985,PhD,Married,33454.0,1,0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0
6119,1963,PhD,Single,36736.0,1,1,10-05-2013,52,10,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,3,11,0
8858,1972,PhD,Married,44325.0,0,1,07-03-2013,69,516,0,21,0,0,5,4,8,2,7,8,0,1,0,0,0,0,3,11,0
8652,1946,Graduation,Together,37760.0,0,0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0
5114,1965,Master,Married,74806.0,0,1,19-12-2012,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,3,11,0
7233,1972,Graduation,Married,69209.0,0,0,17-09-2012,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,3,11,0
